CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;Distrito;OSS;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2787660;UBS JARDIM PANAMERICANO;CENTRO DE SAUDE/UNIDADE BASICA;359327;PANAMERICANO EQUIPE VERDE;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;41;19;19;14;29;19;11;3;12;7;23;1814;45;40,31
2788756;AMA UBS VILA BARBOSA;CENTRO DE SAUDE/UNIDADE BASICA;362972;444-EQUIPE AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;31;14;15;10;25;19;17;3;8;5;19;1525;36;42,36
4050045;UBS JARDIM SOARES;CENTRO DE SAUDE/UNIDADE BASICA;1665839;EQUIPE 9 / SOARES;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;14;9;11;14;12;10;4;7;6;5;18;1004;20;50,2
9788409;UBS ANCHIETA;CENTRO DE SAUDE/UNIDADE BASICA;1664506;ANCHIETA VI;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;19;10;10;8;13;10;8;2;5;3;19;982;23;42,7
2789159;UBS FATIMA DE JESUS VIANA ROSA;CENTRO DE SAUDE/UNIDADE BASICA;363820;EQUIPE 7 VERMELHA/VERDE;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;23;6;9;8;10;8;5;5;4;2;20;923;24;38,46
2787660;UBS JARDIM PANAMERICANO;CENTRO DE SAUDE/UNIDADE BASICA;359335;PANAMERICANO EQUIPE VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;30;13;15;2;24;17;9;2;7;2;19;1290;34;37,94
2787369;UBS JARDIM ELIANE;CENTRO DE SAUDE/UNIDADE BASICA;358487;JD. ELIANE VIII;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;21;11;12;10;16;15;8;8;5;5;18;1182;26;45,46
2789256;AMA UBS VILA SONIA;CENTRO DE SAUDE/UNIDADE BASICA;2269821;EAP 1 BRANCA VILA SONIA;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;2;2;2;0;0;2;0;2;1;0;2;173;3;57,67
2787245;AMA UBS JARDIM CAPELA;CENTRO DE SAUDE/UNIDADE BASICA;358002;J CAPELA 1;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;35;15;17;15;27;14;19;5;11;7;27;1763;36;48,97
2788152;UBS JARDIM NOVE DE JULHO;CENTRO DE SAUDE/UNIDADE BASICA;360791;BROMELIA 02;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;15;13;15;12;13;14;1;4;6;4;20;1068;20;53,4
5743583;UBS CIDADE IPAVA;CENTRO DE SAUDE/UNIDADE BASICA;2381753;IPAVA 7;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;62;25;30;21;39;29;46;17;17;10;35;3041;66;46,08
2787989;UBS JARDIM INDAIA;CENTRO DE SAUDE/UNIDADE BASICA;360317;AGUA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;20;12;17;16;18;19;12;8;10;7;20;1451;32;45,34
6377742;UBS VILA CAIUBA;CENTRO DE SAUDE/UNIDADE BASICA;369128;CAIUBA-EQ05 MOTIVACAO;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;33;15;16;14;25;15;15;6;8;2;31;1653;37;44,68
4050207;UBS VILA NOVA CURUCA;CENTRO DE SAUDE/UNIDADE BASICA;2149206;EQUIPE 08;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;14;3;9;10;10;6;8;5;3;5;13;788;18;43,78
2787229;UBS JARDIM CAMPINAS;CENTRO DE SAUDE/UNIDADE BASICA;1659162;JD CAMPINAS III;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;27;11;11;10;16;13;5;5;6;4;19;1170;27;43,33
2027631;UBS JOAQUIM ANTONIO EIRADO;CENTRO DE SAUDE/UNIDADE BASICA;2462524;EAPJAE02;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787202;UBS JARDIM AURORA;CENTRO DE SAUDE/UNIDADE BASICA;2404613;FLOR DE LOTUS;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;11;7;10;8;6;8;8;1;2;1;13;686;16;42,88
7128940;UBS JARDIM MIRIAM II;CENTRO DE SAUDE/UNIDADE BASICA;1549839;UBS JD MIRIAM II 6;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;14;10;8;1;11;11;2;1;0;4;4;608;21;28,95
4700449;UBS PARQUE DAS FLORES;CENTRO DE SAUDE/UNIDADE BASICA;2497603;004-PQF-ORQUIDIA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;12;10;10;8;8;8;5;7;7;4;11;822;16;51,38
2789302;UBS VELEIROS;CENTRO DE SAUDE/UNIDADE BASICA;2267632;EAP - VELEIROS 5;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;5;3;3;3;1;3;0;0;0;0;2;284;6;47,33
5975220;UBS SE;CENTRO DE SAUDE/UNIDADE BASICA;368296;ESF SE 01 - AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9488413;UBS ENCOSTA NORTE LUIZ JOSE SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;2150670;VERDE ESCURO;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;16;10;13;13;17;14;8;6;6;5;20;1168;23;50,78
2787113;UBS HUMAITA DR JOAO DE AZEVEDO LAGE;CENTRO DE SAUDE/UNIDADE BASICA;2265451;EAP HUMAITA 1;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787245;AMA UBS JARDIM CAPELA;CENTRO DE SAUDE/UNIDADE BASICA;358010;J CAPELA 4;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;35;15;17;13;20;14;25;10;6;6;24;1700;39;43,59
2787679;AMA UBS JARDIM PAULISTANO;CENTRO DE SAUDE/UNIDADE BASICA;359343;EQUIPE 7 LARANJA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;21;8;9;6;14;13;7;4;2;3;17;957;22;43,5
2787024;AMA UBS ELISIO TEIXEIRA LEITE;CENTRO DE SAUDE/UNIDADE BASICA;357162;JDPIRITUBA EQ04VERDE;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;25;14;15;11;17;8;13;5;1;4;24;1258;28;44,93
2787369;UBS JARDIM ELIANE;CENTRO DE SAUDE/UNIDADE BASICA;358495;VERMELHA - JD. ELIANE IV;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;33;19;23;15;27;18;10;14;9;7;22;1806;37;48,81
2788802;UBS VILA CURUCA;CENTRO DE SAUDE/UNIDADE BASICA;362980;FLOR DE LIS VI;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;4;1;7;7;6;8;1;4;3;1;11;481;15;32,07
2787512;UBS JARDIM JAQUELINE;CENTRO DE SAUDE/UNIDADE BASICA;2269813;EAP 4 LILAS JAQUELINE;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2788608;UBS SANTA INES;CENTRO DE SAUDE/UNIDADE BASICA;362506;AMARILES II;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;21;8;12;11;9;11;7;2;7;3;13;957;26;36,81
9794751;UBS JARDIM LUCELIA SANDRA AP BARBOSA CORREIA LIMA;CENTRO DE SAUDE/UNIDADE BASICA;1687611;LUCELIA IV;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;17;11;12;7;14;15;3;9;5;5;20;1079;24;44,96
2789159;UBS FATIMA DE JESUS VIANA ROSA;CENTRO DE SAUDE/UNIDADE BASICA;363839;EQUIPE 4 AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;26;11;11;9;19;14;6;0;3;2;27;1178;33;35,7
2787989;UBS JARDIM INDAIA;CENTRO DE SAUDE/UNIDADE BASICA;360325;AR;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;18;6;12;14;11;12;8;5;4;2;16;990;28;35,36
2788381;UBS PARQUE REGINA PERINA ALVES TEIXEIRA;CENTRO DE SAUDE/UNIDADE BASICA;361658;REGINA - VERMELHO;eSF;SÃO PAULO;Capital;Campo Limpo;Einstein;Agosto;Gestantes e puérperas;14;6;5;3;7;14;0;1;4;0;13;617;15;41,13
2787229;UBS JARDIM CAMPINAS;CENTRO DE SAUDE/UNIDADE BASICA;1659170;JD CAMPINAS IV;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;28;9;10;9;14;11;1;3;5;4;21;1063;29;36,66
9788409;UBS ANCHIETA;CENTRO DE SAUDE/UNIDADE BASICA;1664514;ANCHIETA VII;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;32;18;21;15;17;23;9;2;14;6;27;1688;39;43,28
6377742;UBS VILA CAIUBA;CENTRO DE SAUDE/UNIDADE BASICA;369152;CAIUBA-EQ03 LUZ;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;20;10;10;9;20;10;10;3;6;4;21;1127;22;51,23
2075202;AMA UBS JARDIM BRASIL;CENTRO DE SAUDE/UNIDADE BASICA;1656902;AMARELA - BRASILIA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;38;16;20;6;22;20;9;2;6;8;27;1604;44;36,45
2752212;UBS VILA AURORA DOMINGOS MAZZONETO DE CILO;CENTRO DE SAUDE/UNIDADE BASICA;2266334;EAPAURORA02;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787113;UBS HUMAITA DR JOAO DE AZEVEDO LAGE;CENTRO DE SAUDE/UNIDADE BASICA;2265486;EAP HUMAITA 3;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026988;AMA UBS VILA CALIFORNIA ZEILIVAL BRUSCAGIN;CENTRO DE SAUDE/UNIDADE BASICA;2151596;4951 - EQUIPE AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;23;15;17;12;19;14;5;1;7;5;17;1238;26;47,62
2787997;UBS JORDANOPOLIS;CENTRO DE SAUDE/UNIDADE BASICA;360333;JORDANOPOLIS 03;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;19;2;8;2;8;15;10;3;4;2;22;874;25;34,96
2787679;AMA UBS JARDIM PAULISTANO;CENTRO DE SAUDE/UNIDADE BASICA;359351;EQUIPE 3 AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;36;19;21;17;29;22;8;8;3;9;29;1845;42;43,93
2787229;UBS JARDIM CAMPINAS;CENTRO DE SAUDE/UNIDADE BASICA;1659189;JD CAMPINAS V;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;24;13;13;12;11;17;2;9;6;4;20;1203;28;42,96
9788409;UBS ANCHIETA;CENTRO DE SAUDE/UNIDADE BASICA;1664522;ANCHIETA VIII;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;28;12;15;11;13;16;13;1;4;2;21;1252;31;40,39
2789256;AMA UBS VILA SONIA;CENTRO DE SAUDE/UNIDADE BASICA;2269848;EAP 2 AZUL VILA SONIA;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2788608;UBS SANTA INES;CENTRO DE SAUDE/UNIDADE BASICA;362514;AMARILES I;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;18;11;13;14;12;10;3;6;2;0;13;936;25;37,44
2788381;UBS PARQUE REGINA PERINA ALVES TEIXEIRA;CENTRO DE SAUDE/UNIDADE BASICA;361666;REGINA - AMARELO;eSF;SÃO PAULO;Capital;Campo Limpo;Einstein;Agosto;Gestantes e puérperas;14;3;4;2;5;6;3;1;4;0;12;500;14;35,71
9794751;UBS JARDIM LUCELIA SANDRA AP BARBOSA CORREIA LIMA;CENTRO DE SAUDE/UNIDADE BASICA;1687646;LUCELIA V;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;22;12;13;11;18;12;4;4;6;2;22;1156;25;46,24
2787024;AMA UBS ELISIO TEIXEIRA LEITE;CENTRO DE SAUDE/UNIDADE BASICA;357170;JDLIDEREQ03VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;40;26;27;13;33;28;18;19;12;11;42;2461;43;57,23
2789159;UBS FATIMA DE JESUS VIANA ROSA;CENTRO DE SAUDE/UNIDADE BASICA;363847;EQUIPE 3 VERDE;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;24;11;11;9;15;10;3;0;8;3;18;1032;24;43
2788802;UBS VILA CURUCA;CENTRO DE SAUDE/UNIDADE BASICA;362999;FLOR DE LIS III;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;15;0;3;3;6;8;7;2;0;1;16;564;18;31,33
4050045;UBS JARDIM SOARES;CENTRO DE SAUDE/UNIDADE BASICA;1665855;EQUIPE 10 / SOARES;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;15;8;9;11;13;9;1;5;4;5;15;870;18;48,33
2057891;UBS PARQUE SAO LUCAS;CENTRO DE SAUDE/UNIDADE BASICA;354902;4287 - EQUIPE 7;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;12;8;8;6;7;7;7;3;2;0;9;633;13;48,69
2027526;UBS JARDIM NELIA;CENTRO DE SAUDE/UNIDADE BASICA;1665871;EQUIPE 06 - LARANJA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;13;8;9;10;8;9;6;3;5;2;11;769;16;48,06
2787113;UBS HUMAITA DR JOAO DE AZEVEDO LAGE;CENTRO DE SAUDE/UNIDADE BASICA;2265478;EAP HUMAITA 2;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787245;AMA UBS JARDIM CAPELA;CENTRO DE SAUDE/UNIDADE BASICA;358029;J CAPELA 5;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;23;14;14;14;18;12;11;12;7;3;20;1355;28;48,39
2752212;UBS VILA AURORA DOMINGOS MAZZONETO DE CILO;CENTRO DE SAUDE/UNIDADE BASICA;2266326;EAPAURORA01;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787598;UBS VILA GUMERCINDO PROF JANDIRA MASSUR;CENTRO DE SAUDE/UNIDADE BASICA;2294818;EAP01;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6377742;UBS VILA CAIUBA;CENTRO DE SAUDE/UNIDADE BASICA;369160;CAIUBA-EQ01 GIRASSOL;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;25;12;12;9;18;15;7;3;5;2;20;1177;26;45,27
2075202;AMA UBS JARDIM BRASIL;CENTRO DE SAUDE/UNIDADE BASICA;1656910;VERMELHA - AMAZONAS;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;19;11;12;7;13;11;3;0;1;4;16;892;24;37,17
2788381;UBS PARQUE REGINA PERINA ALVES TEIXEIRA;CENTRO DE SAUDE/UNIDADE BASICA;361674;REGINA - LILAS;eSF;SÃO PAULO;Capital;Campo Limpo;Einstein;Agosto;Gestantes e puérperas;15;4;4;4;5;7;4;0;1;1;13;537;18;29,83
2787024;AMA UBS ELISIO TEIXEIRA LEITE;CENTRO DE SAUDE/UNIDADE BASICA;357189;PARADA EQ01 AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;16;5;5;3;7;7;7;0;0;1;14;601;17;35,35
2787997;UBS JORDANOPOLIS;CENTRO DE SAUDE/UNIDADE BASICA;360341;JORDANOPOLIS 02;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;16;10;10;9;11;11;8;4;2;2;18;925;18;51,39
2787253;AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F;CENTRO DE SAUDE/UNIDADE BASICA;358037;JD CASTRO ALVES IV;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;29;15;16;12;12;16;8;4;7;4;15;1271;33;38,52
4050150;UBS PARELHEIROS;CENTRO DE SAUDE/UNIDADE BASICA;1659197;PARELHEIROS I;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;29;18;18;16;20;17;9;3;9;3;25;1532;33;46,42
2027526;UBS JARDIM NELIA;CENTRO DE SAUDE/UNIDADE BASICA;1665863;EQUIPE 05 - ROXO;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;32;10;13;17;15;19;16;8;4;4;29;1535;40;38,38
2789159;UBS FATIMA DE JESUS VIANA ROSA;CENTRO DE SAUDE/UNIDADE BASICA;363855;EQUIPE 5 VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;17;7;11;8;17;12;4;3;5;4;20;989;23;43
3002543;UBS JARDIM PARANAPANEMA;CENTRO DE SAUDE/UNIDADE BASICA;364703;J PARANAPANEMA 1;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;35;15;16;13;25;13;16;8;10;6;36;1772;38;46,63
2787083;UBS GUAIANAZES;CENTRO DE SAUDE/UNIDADE BASICA;2261901;AMARELO;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;15;8;25;24;1;20;9;11;5;0;29;1941;34;57,09
6380417;UBS JARDIM VALQUIRIA;CENTRO DE SAUDE/UNIDADE BASICA;369179;VALQUIRIA 3 - AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;22;12;12;11;22;14;11;6;7;4;22;1309;26;50,35
2075202;AMA UBS JARDIM BRASIL;CENTRO DE SAUDE/UNIDADE BASICA;1656929;PRETA - MATO GROSSO;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;25;15;16;1;17;20;5;1;7;5;25;1258;30;41,93
2788381;UBS PARQUE REGINA PERINA ALVES TEIXEIRA;CENTRO DE SAUDE/UNIDADE BASICA;361690;REGINA - VERDE;eSF;SÃO PAULO;Capital;Campo Limpo;Einstein;Agosto;Gestantes e puérperas;14;6;8;5;7;11;5;3;5;0;15;725;17;42,65
7357761;UBS JARDIM NOVO PANTANAL OTACILIO MADEIRA;CENTRO DE SAUDE/UNIDADE BASICA;1524127;NOVO PANTANAL 02;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;21;13;13;13;8;12;2;0;2;2;1;804;27;29,78
3002543;UBS JARDIM PARANAPANEMA;CENTRO DE SAUDE/UNIDADE BASICA;364711;J PARANAPANEMA 2;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;40;17;20;16;28;18;23;6;6;6;37;1993;41;48,61
7357761;UBS JARDIM NOVO PANTANAL OTACILIO MADEIRA;CENTRO DE SAUDE/UNIDADE BASICA;1524135;NOVO PANTANAL 03;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;18;6;8;5;10;10;0;0;3;0;2;576;19;30,32
2789159;UBS FATIMA DE JESUS VIANA ROSA;CENTRO DE SAUDE/UNIDADE BASICA;363863;EQUIPE 6 PRATA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;15;7;8;5;13;10;7;0;6;3;15;816;18;45,33
2787253;AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F;CENTRO DE SAUDE/UNIDADE BASICA;358045;JD CASTRO ALVES V;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;23;6;8;3;9;7;8;0;4;4;16;815;25;32,6
2789256;AMA UBS VILA SONIA;CENTRO DE SAUDE/UNIDADE BASICA;2269864;EAP 4 VERDE VILA SONIA;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787024;AMA UBS ELISIO TEIXEIRA LEITE;CENTRO DE SAUDE/UNIDADE BASICA;357197;COHAB 07 BRANCA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;15;8;10;5;12;6;11;4;3;0;15;816;18;45,33
2788608;UBS SANTA INES;CENTRO DE SAUDE/UNIDADE BASICA;362530;AMARILES III;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;17;4;14;16;15;13;4;7;6;1;17;1043;25;41,72
2788381;UBS PARQUE REGINA PERINA ALVES TEIXEIRA;CENTRO DE SAUDE/UNIDADE BASICA;361682;REGINA - LARANJA;eSF;SÃO PAULO;Capital;Campo Limpo;Einstein;Agosto;Gestantes e puérperas;14;2;3;0;6;8;3;0;4;0;14;500;16;31,25
2787679;AMA UBS JARDIM PAULISTANO;CENTRO DE SAUDE/UNIDADE BASICA;359378;EQUIPE1 LILAS;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;19;6;10;4;14;8;9;6;1;3;13;856;19;45,05
2788268;UBS PARQUE ARARIBA;CENTRO DE SAUDE/UNIDADE BASICA;361208;ARARIBA - LARANJA;eSF;SÃO PAULO;Capital;Campo Limpo;Einstein;Agosto;Gestantes e puérperas;1;1;1;1;0;1;0;0;1;0;1;64;2;32
6380417;UBS JARDIM VALQUIRIA;CENTRO DE SAUDE/UNIDADE BASICA;369187;VALQUIRIA 2 - VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;23;10;12;10;18;9;8;5;8;7;21;1202;26;46,23
2057891;UBS PARQUE SAO LUCAS;CENTRO DE SAUDE/UNIDADE BASICA;354929;4285 - EQUIPE 5;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;9;4;5;4;9;6;8;3;4;3;13;621;14;44,36
2787474;UBS JARDIM ICARAI QUINTANA;CENTRO DE SAUDE/UNIDADE BASICA;2471434;EAP - ICARAI 5;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;4;1;1;1;0;1;1;1;1;0;4;211;4;52,75
2788144;UBS NOSSA SENHORA DO BRASIL ARMANDO DARIENZO;CENTRO DE SAUDE/UNIDADE BASICA;2265494;EAP NS DO BRASIL 1;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7357761;UBS JARDIM NOVO PANTANAL OTACILIO MADEIRA;CENTRO DE SAUDE/UNIDADE BASICA;1524119;NOVO PANTANAL 01;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;14;5;4;4;7;7;3;0;1;2;4;473;14;33,79
2752212;UBS VILA AURORA DOMINGOS MAZZONETO DE CILO;CENTRO DE SAUDE/UNIDADE BASICA;2266342;EAPAURORA03;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2788047;AMA UBS LAUZANE PAULISTA;CENTRO DE SAUDE/UNIDADE BASICA;2266350;EAPLAUZANE01;eAP;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2787679;AMA UBS JARDIM PAULISTANO;CENTRO DE SAUDE/UNIDADE BASICA;359386;EQUIPE 4 AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;21;9;10;5;12;14;11;2;0;2;14;921;23;40,04
4050053;UBS CHACARA SANTANA;CENTRO DE SAUDE/UNIDADE BASICA;366900;CHACARA SANTANA 6;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;18;9;12;12;17;11;0;2;6;7;8;936;22;42,55
2787253;AMA UBS JARDIM CASTRO ALVES DRA MARIA CRISTINA F;CENTRO DE SAUDE/UNIDADE BASICA;358053;JD CASTRO ALVES VI;eSF;SÃO PAULO;Capital;Outros;Outra;Agosto;Gestantes e puérperas;30;15;17;5;14;21;7;4;13;1;24;1389;37;37,54
